name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Việt Nam,2025-06-16T00:00:00,76.9,76.9,75.1,94.19,0,0,,0,0,11.9,3.4,300,1005,88,6.2,0,0,0,60,Partially cloudy,partly-cloudy-night,VVNB
Việt Nam,2025-06-16T01:00:00,76.9,76.9,75.1,94.19,0,0,,0,0,11.9,2.2,136.1,1005,50,6.2,0,0,0,30,Partially cloudy,partly-cloudy-night,VVNB
Việt Nam,2025-06-16T02:00:00,76.9,76.9,75.1,94.19,0,0,,0,0,9.2,3.4,360,1004,88,6.2,0,0,0,30,Partially cloudy,partly-cloudy-night,VVNB
Việt Nam,2025-06-16T03:00:00,76.9,76.9,75.1,94.19,0.02,100,rain,0,0,8.1,2.2,90,1004,88,6.2,0,0,0,30,"Rain, Partially cloudy",rain,VVNB
Việt Nam,2025-06-16T04:00:00,76.9,76.9,75.1,94.19,0.024,100,rain,0,0,2.9,1.1,227.5,1005,100,6.2,0,0,0,30,"Rain, Overcast",rain,VVNB
Việt Nam,2025-06-16T05:00:00,76.9,76.9,75.1,94.19,0.02,100,rain,0,0,6.5,3.4,70,1005,100,6.2,0,0,0,30,"Rain, Overcast",rain,VVNB
Việt Nam,2025-06-16T06:00:00,78.7,78.7,75.1,88.75,0,0,rain,0,0,8.3,2.2,302.1,1005,100,6.2,8,0,0,30,Overcast,cloudy,VVNB
Việt Nam,2025-06-16T07:00:00,78.7,78.7,75.1,88.75,0,0,,0,0,3.8,2.2,300,1005,88,6.2,70,0.3,1,30,Partially cloudy,partly-cloudy-day,VVNB
Việt Nam,2025-06-16T08:00:00,78.7,78.7,76.9,94.23,0,0,,0,0,2.5,4.7,320,1006,100,6.2,259,0.9,3,30,Overcast,cloudy,VVNB
Việt Nam,2025-06-16T09:00:00,80.5,86.9,76.9,88.83,0,0,,0,0,1.6,5.8,300,1007,100,3.1,122,0.4,1,30,Overcast,cloudy,VVNB
Việt Nam,2025-06-16T10:00:00,76.9,76.9,75.1,94.19,0,0,,0,0,2.5,6.9,310,1006,88,1.9,94,0.3,1,30,Partially cloudy,partly-cloudy-day,VVNB
Việt Nam,2025-06-16T11:00:00,76.9,76.9,76.9,100,0,0,,0,0,2.5,3.4,10,1006,88,5.6,324,1.2,3,30,Partially cloudy,partly-cloudy-day,VVNB
Việt Nam,2025-06-16T12:00:00,78.7,78.7,76.9,94.23,0,0,,0,0,2.9,2.2,156.3,1005,88,6.2,519,1.9,5,30,Partially cloudy,partly-cloudy-day,VVNB
Việt Nam,2025-06-16T13:00:00,80.5,87.9,78.7,94.27,0,0,,0,0,3.4,4.7,70,1004,25,5.6,150,0.5,2,30,Partially cloudy,partly-cloudy-day,VVNB
Việt Nam,2025-06-16T14:00:00,80.5,87.9,78.7,94.27,0,0,,0,0,4.5,8.1,60,1004,50,6.2,133,0.5,1,30,Partially cloudy,partly-cloudy-day,VVNB
Việt Nam,2025-06-16T15:00:00,86.3,96.9,76.4,72.46,0,29,,0,0,4.3,4,230.5,1002,100,15,120,0.4,1,30,Overcast,cloudy,
Việt Nam,2025-06-16T16:00:00,89.3,100.9,76,64.98,0,29,,0,0,4.7,3.4,215.3,1001,90.8,15,426,1.5,4,30,Overcast,cloudy,
Việt Nam,2025-06-16T17:00:00,90.2,101.7,75.6,62.41,0,29,,0,0,4.5,2.9,259.9,1001,99.2,15,347,1.2,3,30,Overcast,cloudy,
Việt Nam,2025-06-16T18:00:00,89,101.3,76.7,67.31,0,29,,0,0,2.7,2,278.2,1001,99.5,15,149,0.5,1,30,Overcast,cloudy,
Việt Nam,2025-06-16T19:00:00,86.8,97.1,75.8,69.96,0,29,,0,0,5.1,2.7,103.3,1002,100,15,0,0,0,30,Overcast,cloudy,
Việt Nam,2025-06-16T20:00:00,85.6,96.3,76.9,75.48,0.004,77.4,rain,0,0,13,7.4,132.6,1003,97,13.7,0,0,0,60,"Rain, Overcast",rain,
Việt Nam,2025-06-16T21:00:00,82.7,91.6,77.3,83.8,0.098,77.4,rain,0,0,17.2,9.2,131.1,1004,100,13,0,0,0,30,"Rain, Overcast",rain,
Việt Nam,2025-06-16T22:00:00,82.3,91.2,77.6,85.8,0.059,77.4,rain,0,0,18.8,8.7,136.5,1004,100,13.7,0,0,0,30,"Rain, Overcast",rain,
Việt Nam,2025-06-16T23:00:00,81.6,89.8,77.8,88.35,0.059,77.4,rain,0,0,17.4,7.4,128.7,1005,100,15,0,0,0,30,"Rain, Overcast",rain,
Việt Nam,2025-06-17T00:00:00,81.9,90.6,77.8,87.33,0.024,77.4,rain,0,0,15,5.8,126.8,1004,100,15,0,0,0,30,"Rain, Overcast",rain,
