name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Việt Nam,2025-05-31,94.1,78.8,85.1,113.6,78.8,96.3,79,82.8,0,0,0,rain,0,0,19.2,12.8,123.7,1003.7,74.9,6.1,239.9,20.6,8,60,2025-05-31T05:14:52,2025-05-31T18:33:58,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-01,102.6,80.6,91.4,116.9,88.1,104.4,77.5,67.1,0,0,0,,0,0,22.8,15.5,232.8,999.3,42.8,7.1,301.9,26.1,9,60,2025-06-01T05:14:45,2025-06-01T18:34:23,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-02,101.8,86.9,94.1,118.4,97.5,108.6,76.9,58.7,0.079,100,12.5,rain,0,0,18.3,12.1,271.9,999,81.5,7,295.7,25.5,9,60,2025-06-02T05:14:40,2025-06-02T18:34:46,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-03,91.4,81.8,86.6,107.4,88.5,97.9,77,73.9,0.58,100,4.17,rain,0,0,18.3,10.3,63.8,1003.2,84.4,6.2,157.6,13.6,6,30,2025-06-03T05:14:36,2025-06-03T18:35:10,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-04,89.6,78.8,83.6,102,78.8,91.8,77.3,82,0.419,100,4.17,rain,0,0,12.5,7.5,56.6,1006.3,88.1,5.9,168.5,14.6,6,30,2025-06-04T05:14:33,2025-06-04T18:35:33,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-05,93.1,78.8,85.4,113,78.8,96.8,78.7,81.3,0.099,100,20.83,rain,0,0,15,12.6,142.3,1006.6,71.9,5.9,198.1,17.1,8,30,2025-06-05T05:14:31,2025-06-05T18:35:56,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-06,93.9,82.4,86.7,117.1,92.4,102.1,80.2,81.7,0.051,100,12.5,rain,0,0,17.4,12.8,115.1,1005.5,60.4,6.2,233.6,20.1,8,60,2025-06-06T05:14:30,2025-06-06T18:36:18,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-07,94.2,80.6,85.5,117,87.1,100.4,80.3,85,0.722,100,4.17,rain,0,0,13.6,11.4,113.9,1004.6,78.1,6.2,237.4,20.5,7,75,2025-06-07T05:14:30,2025-06-07T18:36:40,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-08,91.4,78.7,83.2,114.4,78.7,93.4,79.2,88.1,0.032,100,4.17,rain,0,0,12.3,9.2,93.2,1003.7,73.8,5.8,184.5,16,6,60,2025-06-08T05:14:31,2025-06-08T18:37:01,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-09,91.4,76.9,84.4,107.5,76.9,92.8,76.9,79.3,0.008,100,4.17,rain,0,0,16.1,6.9,265.9,1004,71.8,6.1,107.7,9.4,4,60,2025-06-09T05:14:32,2025-06-09T18:37:22,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-10,84.7,78.8,81.7,96.5,78.8,87.9,76.4,84.1,0.634,100,25,rain,0,0,25.5,15.5,316.5,1005,82.5,6,199.5,17.2,8,30,2025-06-10T05:14:35,2025-06-10T18:37:43,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-11,92.3,77,83.5,107.8,77,90.3,76.1,79.4,0.01,100,4.17,rain,0,0,17.7,13.3,305.6,1004.2,52.3,6,292.8,25.5,9,30,2025-06-11T05:14:39,2025-06-11T18:38:03,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-12,93.5,78.7,85.1,109,78.7,93.4,76.7,77.2,0.347,100,4.17,rain,0,0,22.6,10.3,346.5,1003,72.2,5.7,124.8,10.8,5,30,2025-06-12T05:14:44,2025-06-12T18:38:22,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-13,92.3,79.7,86.1,106.4,79.7,96.1,76.8,74.9,0.086,100,4.17,rain,0,0,24.8,12.8,342,1002,67.3,6.5,234.6,20.3,8,30,2025-06-13T05:14:50,2025-06-13T18:38:41,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-14,96.7,84.1,89.9,112.1,92.2,101.9,76.2,64.9,0.036,100,20.83,rain,0,0,23.5,10.3,45.7,1000.6,66.4,6,315.8,27.4,10,60,2025-06-14T05:14:57,2025-06-14T18:38:59,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Việt Nam,2025-06-15,96.7,75.1,86,122,75.1,98.5,78.8,80.7,0.043,100,12.5,rain,0,0,17.7,15,54.5,1001.8,59.9,5.6,299.3,26.1,9,75,2025-06-15T05:15:04,2025-06-15T18:39:17,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,VVNB
