date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,dew_point_2m_min,dew_point_2m_mean,dew_point_2m_max,apparent_temperature_min,apparent_temperature_mean,apparent_temperature_max,precipitation_min,precipitation_mean,precipitation_max,rain_min,rain_mean,rain_max,showers_min,showers_mean,showers_max,weather_code_min,weather_code_mean,weather_code_max,pressure_msl_min,pressure_msl_mean,pressure_msl_max,surface_pressure_min,surface_pressure_mean,surface_pressure_max,cloud_cover_min,cloud_cover_mean,cloud_cover_max,cloud_cover_low_min,cloud_cover_low_mean,cloud_cover_low_max,cloud_cover_mid_min,cloud_cover_mid_mean,cloud_cover_mid_max,cloud_cover_high_min,cloud_cover_high_mean,cloud_cover_high_max,et0_fao_evapotranspiration_min,et0_fao_evapotranspiration_mean,et0_fao_evapotranspiration_max,vapour_pressure_deficit_min,vapour_pressure_deficit_mean,vapour_pressure_deficit_max,wind_speed_10m_min,wind_speed_10m_mean,wind_speed_10m_max,wind_speed_100m_min,wind_speed_100m_mean,wind_speed_100m_max,wind_direction_10m_min,wind_direction_10m_mean,wind_direction_10m_max,wind_gusts_10m_min,wind_gusts_10m_mean,wind_gusts_10m_max,shortwave_radiation_min,shortwave_radiation_mean,shortwave_radiation_max,direct_radiation_min,direct_radiation_mean,direct_radiation_max,diffuse_radiation_min,diffuse_radiation_mean,diffuse_radiation_max,direct_normal_irradiance_min,direct_normal_irradiance_mean,direct_normal_irradiance_max,terrestrial_radiation_instant_min,terrestrial_radiation_instant_mean,terrestrial_radiation_instant_max,sunshine_duration_min,sunshine_duration_mean,sunshine_duration_max
2023-07-01,25.6,27.2625,31.7,66,85.41666666666667,95,23.7,24.516666666666666,25.1,30.0,32.32083333333333,36.7,0.0,1.0375,9.0,0.0,1.0375,9.0,0.0,0.0,0.0,1,35.041666666666664,65,1007.0,1008.9708333333333,1011.9,1005.6,1007.5708333333333,1010.5,25,93.58333333333333,100,0,12.791666666666666,100,0,22.875,100,22,91.95833333333333,100,0.0,0.13291666666666666,0.61,0.18,0.56125,1.58,4.7,10.320833333333335,19.1,9.6,15.120833333333332,28.1,150,192.125,229,8.6,19.4375,34.6,0.0,169.70833333333334,823.0,0.0,97.58333333333333,621.0,0.0,72.125,265.0,0.0,126.77916666666665,675.0,0.0,431.0541666666666,1292.6,0.0,875.555,3600.0
2023-07-02,25.2,26.712500000000002,29.5,75,86.125,94,23.7,24.133333333333336,24.8,29.8,31.633333333333336,34.6,0.0,0.47500000000000003,6.5,0.0,0.47500000000000003,6.5,0.0,0.0,0.0,3,35.75,63,1007.6,1010.0416666666666,1012.1,1006.2,1008.6416666666668,1010.7,97,99.79166666666667,100,0,9.75,23,2,57.958333333333336,100,95,99.58333333333333,100,0.0,0.11958333333333333,0.47,0.18,0.5083333333333333,1.03,2.9,8.833333333333334,16.9,2.7,13.154166666666667,22.0,7,201.58333333333334,331,4.3,16.599999999999998,31.0,0.0,156.41666666666666,667.0,0.0,54.166666666666664,497.0,0.0,102.25,380.0,0.0,78.85416666666667,636.0,0.0,431.0958333333333,1292.9,0.0,681.86,3600.0
2023-07-03,24.9,27.233333333333334,31.9,62,85.08333333333333,97,23.7,24.337500000000002,25.2,30.5,32.612500000000004,37.3,0.0,0.19583333333333333,1.4,0.0,0.19583333333333333,1.4,0.0,0.0,0.0,2,17.708333333333332,61,1007.7,1010.1041666666666,1011.6,1006.3,1008.7041666666668,1010.2,52,97.08333333333333,100,0,4.791666666666667,17,0,17.125,98,40,95.79166666666667,100,0.0,0.18666666666666668,0.63,0.1,0.5995833333333334,1.81,3.3,8.3125,18.6,2.9,11.429166666666667,24.5,28,241.5,350,5.0,15.816666666666668,32.4,0.0,250.375,825.0,0.0,179.41666666666666,653.0,0.0,70.95833333333333,209.0,0.0,237.65833333333333,710.8,0.0,431.12916666666666,1293.2,0.0,1500.0,3600.0
2023-07-04,24.5,28.079166666666666,32.3,57,80.125,96,22.6,24.05,25.6,29.7,33.40833333333333,37.9,0.0,0.004166666666666667,0.1,0.0,0.004166666666666667,0.1,0.0,0.0,0.0,3,5.0,51,1006.7,1009.2166666666667,1011.1,1005.3,1007.8166666666666,1009.7,99,99.95833333333333,100,0,2.5416666666666665,24,0,9.375,28,98,99.91666666666667,100,0.0,0.20583333333333334,0.69,0.11,0.8441666666666667,2.04,3.2,7.8999999999999995,13.3,6.2,12.166666666666666,18.8,2,286.9583333333333,360,6.1,14.679166666666667,25.9,0.0,266.4583333333333,916.0,0.0,185.08333333333334,776.0,0.0,81.375,261.0,0.0,235.4375,803.2,0.0,431.17083333333335,1293.6,0.0,1445.6329166666667,3600.0
2023-07-05,25.1,27.129166666666666,31.4,72,86.625,96,23.0,24.65416666666667,26.3,29.4,33.00416666666667,40.0,0.0,0.875,9.6,0.0,0.875,9.6,0.0,0.0,0.0,0,34.583333333333336,65,1006.9,1008.6666666666666,1011.2,1005.5,1007.2666666666668,1009.8,5,82.33333333333333,100,0,11.583333333333334,97,0,25.125,91,5,81.41666666666667,100,0.0,0.16041666666666668,0.62,0.12,0.5108333333333334,1.24,1.8,6.266666666666667,15.6,0.8,9.116666666666667,20.8,4,158.08333333333334,360,4.7,15.054166666666667,27.4,0.0,215.5,826.0,0.0,146.70833333333334,644.0,0.0,68.79166666666667,329.0,0.0,205.23333333333335,707.5,0.0,431.2416666666666,1294.1,0.0,1426.47625,3600.0
2023-07-06,24.2,27.15416666666667,31.3,68,85.54166666666667,96,23.0,24.40833333333333,25.2,29.0,33.25,39.8,0.0,0.8250000000000001,8.7,0.0,0.8250000000000001,8.7,0.0,0.0,0.0,1,22.5,65,1006.6,1009.5458333333332,1011.2,1005.2,1008.1458333333334,1009.8,27,88.5,100,0,7.166666666666667,35,1,19.458333333333332,100,9,86.625,100,0.0,0.1875,0.66,0.14,0.5716666666666667,1.47,0.7,4.55,12.4,0.7,6.175,17.0,3,190.70833333333334,360,5.4,12.241666666666667,28.4,0.0,250.95833333333334,874.0,0.0,185.41666666666666,737.0,0.0,65.54166666666667,182.0,0.0,234.48749999999998,760.4,0.0,431.2916666666667,1294.5,0.0,1449.6108333333334,3600.0
2023-07-07,25.2,27.995833333333334,31.5,64,82.875,98,23.8,24.650000000000002,25.0,30.6,33.50416666666667,38.3,0.0,0.1625,3.4,0.0,0.1625,3.4,0.0,0.0,0.0,2,11.458333333333334,63,1006.9,1009.725,1011.1,1005.5,1008.3249999999999,1009.7,39,92.25,100,0,8.25,43,0,8.541666666666666,36,6,89.08333333333333,100,0.0,0.19375,0.66,0.06,0.70125,1.66,2.5,8.654166666666667,17.2,1.4,12.5,24.0,4,154.33333333333334,352,3.6,15.783333333333333,27.0,0.0,249.95833333333334,886.0,0.0,173.95833333333334,723.0,0.0,76.0,310.0,0.0,246.20000000000002,745.7,0.0,431.35833333333335,1295.0,0.0,1708.2299999999998,3600.0
2023-07-08,25.8,27.554166666666664,30.0,73,85.08333333333333,95,23.7,24.729166666666668,25.6,31.2,33.00833333333333,35.7,0.0,0.5791666666666667,4.2,0.0,0.5791666666666667,4.2,0.0,0.0,0.0,3,34.916666666666664,63,1007.8,1009.8791666666666,1012.1,1006.4,1008.4791666666666,1010.7,55,94.95833333333333,100,0,40.333333333333336,100,0,10.833333333333334,45,43,85.375,100,0.0,0.15208333333333332,0.5,0.19,0.5729166666666666,1.15,2.9,8.279166666666667,17.1,5.4,12.604166666666666,21.1,122,155.41666666666666,203,4.3,16.445833333333333,29.9,0.0,203.20833333333334,707.0,0.0,104.04166666666667,506.0,0.0,99.16666666666667,384.0,0.0,142.5375,637.3,0.0,431.4291666666666,1295.6,0.0,1327.2841666666666,3600.0
2023-07-09,24.9,26.833333333333332,30.1,74,86.70833333333333,93,23.6,24.3875,25.4,29.0,32.204166666666666,36.9,0.0,0.5916666666666667,4.6,0.0,0.5916666666666667,4.6,0.0,0.0,0.0,0,26.666666666666668,63,1008.6,1010.0,1011.3,1007.2,1008.6,1009.9,1,84.83333333333333,100,0,20.541666666666668,100,0,16.083333333333332,73,0,75.83333333333333,100,0.0,0.1416666666666667,0.56,0.21,0.48666666666666664,1.05,1.8,7.620833333333334,15.5,3.3,10.758333333333333,19.9,79,163.0,233,4.0,16.295833333333334,31.7,0.0,192.20833333333334,784.0,0.0,100.41666666666667,588.0,0.0,91.79166666666667,318.0,0.0,133.5,645.7,0.0,431.5125,1296.2,0.0,1152.3245833333333,3600.0
2023-07-10,24.9,27.78333333333333,31.9,61,83.0,97,23.5,24.425,25.6,30.5,33.541666666666664,38.5,0.0,0.11249999999999999,2.0,0.0,0.11249999999999999,2.0,0.0,0.0,0.0,0,10.625,61,1006.6,1009.1458333333334,1010.8,1005.2,1007.7458333333334,1009.4,3,75.125,100,0,11.541666666666666,39,0,5.958333333333333,45,0,71.70833333333333,100,0.0,0.1925,0.66,0.08,0.7041666666666666,1.84,1.0,6.154166666666666,12.6,2.2,8.908333333333333,17.3,41,164.75,248,2.2,12.458333333333334,24.8,0.0,254.66666666666666,885.0,0.0,185.0,702.0,0.0,69.66666666666667,234.0,0.0,256.9375,723.4,0.0,431.5958333333333,1296.8,0.0,1650.0,3600.0
